existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
machine_lateral_neck_flexion,ios,Lateral Neck Flexion Machine,lateral-neck-flexion-machine,alias,,no
machine_lateral_raise,ios,Lateral Raise Machine,lateral-raise-machine,duplicate,,no
machine_linear_45_leg_press,ios,45-Degree Linear Leg Press,45-degree-linear-leg-press,duplicate,,no
machine_low_row,ios,Low Row Machine,low-row-machine,duplicate,,no
machine_neck_extension,ios,Neck Extension Machine,neck-extension-machine,alias,,no
machine_neck_flexion,ios,Neck Flexion Machine,neck-flexion-machine,alias,,no
machine_neutral_grip_pulldown,ios,Neutral-Grip Pulldown Machine,neutral-grip-pulldown-machine,alias,,no
machine_nordic_curl,ios,Nordic Curl Machine,nordic-curl-machine,duplicate,,no
machine_pendulum_squat,ios,Pendulum Squat,pendulum-squat,duplicate,,no
machine_plate_loaded_chest_press,ios,Plate-Loaded Chest Press,plate-loaded-chest-press,duplicate,,no
machine_plate_loaded_horizontal_bench_press,ios,Plate-Loaded Horizontal Bench Press,plate-loaded-horizontal-bench-press,alias,,no
machine_plate_loaded_pec_fly,ios,Plate-Loaded Pec Fly,plate-loaded-pec-fly,duplicate,,no
machine_preacher_curl,ios,Preacher Curl Machine,preacher-curl-machine,duplicate,,no
machine_pullover,ios,Pullover Machine,pullover-machine,alias,,no
machine_reverse_grip_pulldown,ios,Reverse-Grip Pulldown Machine,reverse-grip-pulldown-machine,alias,,no
machine_reverse_pec_deck,ios,Reverse Pec Deck,reverse-pec-deck,duplicate,,no
machine_rotary_torso,ios,Rotary Torso Machine,rotary-torso-machine,duplicate,,no
machine_seated_biceps_curl,ios,Seated Biceps Curl Machine,seated-biceps-curl-machine,alias,,no
machine_seated_calf_raise,ios,Seated Calf Raise Machine,seated-calf-raise-machine,duplicate,,no
machine_shoulder_press,ios,Machine Shoulder Press,machine-shoulder-press,alias,,no
machine_shrug,ios,Machine Shrug,machine-shrug,duplicate,,no
machine_single_leg_press,ios,Single-Leg Press Machine,single-leg-press-machine,alias,,no
machine_sissy_squat,ios,Sissy Squat Machine,sissy-squat-machine,duplicate,,no
machine_smith_back_squat,ios,Smith Machine Back Squat,smith-machine-back-squat,alias,,no
machine_smith_bench_press,ios,Smith Machine Bench Press,smith-machine-bench-press,alias,,no
machine_smith_calf_raise,ios,Smith Machine Calf Raise,smith-machine-calf-raise,duplicate,,no
machine_smith_decline_press,ios,Smith Machine Decline Press,smith-machine-decline-press,alias,,no
machine_smith_front_squat,ios,Smith Machine Front Squat,smith-machine-front-squat,alias,,no
machine_smith_hip_thrust,ios,Smith Machine Hip Thrust,smith-machine-hip-thrust,duplicate,,no
machine_smith_incline_press,ios,Smith Machine Incline Press,smith-machine-incline-press,alias,,no
machine_smith_romanian_deadlift,ios,Smith Machine Romanian Deadlift,smith-machine-romanian-deadlift,duplicate,,no
machine_smith_shoulder_press,ios,Smith Machine Shoulder Press,smith-machine-shoulder-press,alias,,no
